V0,dV,td1,td2,Machining Time mean,Tool Wear mean,Orbiting Time mean,Machining Time fit,Tool Wear fit,Orbiting Time fit,n
6.000000062190935779e+01,6.000000000000000000e+01,2.132163183596133240e+04,3.485516541979637259e+04,7.252836854855219428e+01,6.940000000000000568e+01,1.820600581566492693e+01,7.176646975948659701e+01,6.924727698097551354e+01,1.926948148240504111e+01,1.000000000000000000e+00
8.693356301285822951e+01,6.306643699454825480e+01,2.282101577188629744e+04,1.678238531615034663e+04,5.540099502007166876e+01,6.979999999999999716e+01,1.553638544480005912e+01,5.488832158615934276e+01,7.014280358449038033e+01,1.580586976805586907e+01,1.000000000000000000e+00
8.721515543283271654e+01,6.278484456717739448e+01,2.044803432756954498e+04,2.219401362568185505e+04,5.556613216400146626e+01,6.900000000000000000e+01,1.512490861415863108e+01,5.572809772936939510e+01,7.024626718295515104e+01,1.595090810527107372e+01,1.000000000000000000e+00
8.224788363271341041e+01,6.775211636728091946e+01,1.971503308934806046e+04,3.733866055571630568e+04,5.428571428457895820e+01,7.640000000000000568e+01,1.562578750054041521e+01,5.393291834694286990e+01,7.277392842982908405e+01,1.661218679113803631e+01,1.000000000000000000e+00
8.007606480891401191e+01,6.992393519108597388e+01,1.702891986442150665e+04,3.968368235752600594e+04,5.460442385276158461e+01,7.540000000000000568e+01,1.634683228333791050e+01,5.454770928034309208e+01,7.406826803702003303e+01,1.652624215586271816e+01,1.000000000000000000e+00
8.999999988007691343e+01,6.000000008890579295e+01,2.406301804748277573e+04,1.639214069705184011e+04,5.537125475406647013e+01,6.940000000000000568e+01,1.637035226821899414e+01,5.608731820065722218e+01,6.873056774927452750e+01,1.573291226815007704e+01,1.000000000000000000e+00
8.359807994739095705e+01,6.640192007679809194e+01,1.934340912873531852e+04,2.676466972861393879e+04,5.456300246715545654e+01,7.479999999999999716e+01,1.564904760519663540e+01,5.560950100404473773e+01,7.217731158560869176e+01,1.619591250803304661e+01,1.000000000000000000e+00
7.866018087989114349e+01,7.133981912010804649e+01,2.245338905358347620e+04,2.481985755131891347e+04,5.322791444063186361e+01,7.740000000000000568e+01,1.534019847313563112e+01,5.403622791572917095e+01,7.457007305906856232e+01,1.635349853925138675e+01,1.000000000000000000e+00
8.770028763178873987e+01,6.229971236821126723e+01,2.128280161382969891e+04,1.992387274957948466e+04,5.545881753365198819e+01,7.240000000000000568e+01,1.525424749056498186e+01,5.607384174417246925e+01,6.992152691573897982e+01,1.586370872727302839e+01,1.000000000000000000e+00
8.436644973097720879e+01,6.563355026902013378e+01,1.620000000001043918e+04,4.212000000000000000e+04,5.541808879375457764e+01,7.820000000000000284e+01,1.556518573760986257e+01,5.527812914481332029e+01,7.236189728194196391e+01,1.661255683093002844e+01,1.000000000000000000e+00
8.551444418360931365e+01,6.448555581639227796e+01,2.558891849296565488e+04,1.471074688954478552e+04,5.495271035035451490e+01,6.809999999999999432e+01,1.542092602650324551e+01,5.581521284065694033e+01,7.070209512653337924e+01,1.588996210294249956e+01,1.000000000000000000e+00
8.999999999999987210e+01,6.000000000000554223e+01,2.112801347904200884e+04,1.960552712990788496e+04,5.601267251571019301e+01,6.650000000000000000e+01,1.490576496124267614e+01,5.931030076823585517e+01,6.899523015750887112e+01,1.579577079685760488e+01,1.000000000000000000e+00
